Dataset,Corruption,Severity,loss,accuracy,f1 score,precision,recall
GTSRB,gaussian_noise,1,0.7226230587123031,0.8588281868566904,0.8284958963959844,0.8320553759444591,0.836391213793135
GTSRB,gaussian_noise,2,1.1481212130446143,0.789944576405384,0.7668212298925815,0.7753372058620864,0.777239036232464
GTSRB,gaussian_noise,3,1.8915268538966599,0.668091844813935,0.6403842050800103,0.6414958529376614,0.659735364988904
GTSRB,gaussian_noise,4,0.40378526333075754,0.9233570863024545,0.8964820682511374,0.9003816832630224,0.900072541528052
GTSRB,gaussian_noise,5,2.0359421022714175,0.5639746634996041,0.5078497803912487,0.5126054318589673,0.5220614067803148
GTSRB,shot_noise,1,2.1784910618456603,0.6314330958036422,0.6084958330815881,0.6079976896895454,0.6308509748780224
GTSRB,shot_noise,2,0.5466115209777234,0.889944576405384,0.8534057800824808,0.8602305026691762,0.858418235913433
GTSRB,shot_noise,3,0.7214241116185269,0.8342042755344418,0.7985080513833364,0.8000503777965181,0.8080680512424699
GTSRB,shot_noise,4,2.4517101289918286,0.5594615993665875,0.5172347634468344,0.5310407046642773,0.5280519362953641
GTSRB,shot_noise,5,1.5610083825797763,0.7200316706254949,0.6937813816884577,0.6971636409036001,0.7109443560502712
GTSRB,impulse_noise,1,0.4345568874248791,0.9155186064924782,0.8859617568164144,0.8907092236515258,0.8904731790884471
GTSRB,impulse_noise,2,0.8023870659507634,0.8530482977038797,0.8035741502771203,0.8121873960810373,0.8160594732758534
GTSRB,impulse_noise,3,0.7701733363938303,0.8528107680126682,0.8223876940045908,0.8232461282406583,0.8350643272860159
GTSRB,impulse_noise,4,0.49445937986958327,0.8971496437054631,0.861182601963991,0.8697178684306028,0.8639293544151986
GTSRB,impulse_noise,5,0.7527108496195111,0.828345209817894,0.787822897429352,0.7917130285386222,0.7966625047423833
GTSRB,defocus_blur,1,0.7783139051754479,0.8547110055423595,0.8250355980555477,0.8283787908393744,0.8361763891559137
GTSRB,defocus_blur,2,0.3480409141904243,0.93784639746635,0.9095897842706987,0.9106444126921914,0.9154362911364935
GTSRB,defocus_blur,3,0.712391180662484,0.8650831353919239,0.8361106979117238,0.840406118777976,0.8425987069048241
GTSRB,defocus_blur,4,0.6822689079745177,0.8658749010292953,0.8397523206074207,0.8474665766989746,0.8444620887295304
GTSRB,defocus_blur,5,0.6349829603673821,0.8659540775930324,0.8287566850955542,0.8360140484818792,0.8328845478941534
GTSRB,glass_blur,1,1.209657815327648,0.7733174980205859,0.7421157143394834,0.7389141748305326,0.757004850353182
GTSRB,glass_blur,2,0.5490640572255281,0.8965954077593032,0.8549975923017982,0.8628333597411356,0.8615358305702087
GTSRB,glass_blur,3,2.0283859584979,0.5669833729216152,0.5063286263974968,0.5115313809099645,0.5183154698164809
GTSRB,glass_blur,4,0.7272525769036767,0.8489311163895487,0.8048042582329946,0.811813595498589,0.808547218416531
GTSRB,glass_blur,5,0.557069871220781,0.8897070467141726,0.85201826400525,0.8608896683132975,0.8571835813046631
GTSRB,motion_blur,1,3.498767490568184,0.317735550277118,0.2638642223268896,0.2720677654372296,0.2842142730598241
GTSRB,motion_blur,2,0.4118387129760966,0.9238321456848773,0.8949318812267869,0.8994340552895912,0.8979575366119855
GTSRB,motion_blur,3,2.9138828327612374,0.5064133016627078,0.46157487593344765,0.47600730815000514,0.4720117522162517
GTSRB,motion_blur,4,1.5044132075513628,0.7095803642121932,0.654798116294508,0.683593596797124,0.6706718554916229
GTSRB,motion_blur,5,1.0077142549240674,0.8119556611243072,0.7826530402589357,0.7841534635759994,0.7943774155477897
GTSRB,zoom_blur,1,1.5478425908824893,0.7085510688836104,0.6730429721572085,0.6859279545735709,0.6832575716610094
GTSRB,zoom_blur,2,2.868932674956152,0.5095803642121932,0.4654749689792372,0.4764905060200475,0.477504751203184
GTSRB,zoom_blur,3,3.496364574213398,0.3152019002375297,0.2611127899061428,0.2729561994741502,0.27978516123991354
GTSRB,zoom_blur,4,0.4655232770260798,0.9026920031670626,0.8683703139454371,0.8786712804666859,0.8702139368608025
GTSRB,zoom_blur,5,0.5581038148801059,0.8876484560570072,0.8523060861186184,0.8593713964848397,0.8594710005943574
GTSRB,snow,1,2.18099130489292,0.632541567695962,0.6078351644644088,0.6104276261352993,0.6287664867151723
GTSRB,snow,2,0.5558259971835995,0.8923198733174981,0.8563944639204203,0.8636624993432105,0.8617132222625145
GTSRB,snow,3,0.7658715860971256,0.8510688836104513,0.8158321780920557,0.8270223870647077,0.8248241613552534
GTSRB,snow,4,0.40639072599649717,0.9242280285035629,0.8974860668198175,0.9006877638182398,0.9017385371247856
GTSRB,snow,5,0.7407522618496475,0.8403008709422011,0.8102290432770686,0.8189712834953575,0.8147345491736289
GTSRB,fog,1,2.6567953363450294,0.4880443388756928,0.43254663367689333,0.4845851837655762,0.45461312069198817
GTSRB,fog,2,1.150430428349396,0.7522565320665083,0.7000953992354514,0.7029690066291086,0.7095406593743299
GTSRB,fog,3,0.6996980052236365,0.8647664291369754,0.8361394711492823,0.8409788072680047,0.843218337237043
GTSRB,fog,4,1.2139735847357616,0.7730007917656374,0.7386874249777556,0.7351743783236824,0.7536842457621021
GTSRB,fog,5,0.4927655559342859,0.8996041171813143,0.8668303458363922,0.8731935997452807,0.870360570186657
GTSRB,frost,1,1.5298208281810757,0.7080760095011877,0.6688035046444449,0.682545766868486,0.6778880163202712
GTSRB,frost,2,0.4094317171229706,0.9217735550277117,0.8949201905603623,0.8998198452918317,0.8986912552395363
GTSRB,frost,3,1.98293805571652,0.6046714172604909,0.5544494934024198,0.5726430492638387,0.5632076414953058
GTSRB,frost,4,1.1232006986369618,0.7862232779097387,0.7591284778511256,0.7585489611966854,0.7717892405314042
GTSRB,frost,5,0.7334608984496135,0.8387965162311956,0.8049106199356283,0.8072936491257452,0.8138949030035986
GTSRB,brightness,1,2.7560374649195847,0.47759303246239115,0.4302858136969283,0.4583982381810095,0.4411804648746004
GTSRB,brightness,2,1.8697972988950196,0.6535233570863025,0.6155673084909735,0.6347697005454309,0.6236349571860188
GTSRB,brightness,3,0.413184022848046,0.9212193190815519,0.8948229364917306,0.9042561244686381,0.8952276285018955
GTSRB,brightness,4,0.4825076333210993,0.9028503562945368,0.8667185447365008,0.8785908924307974,0.8672681961056582
GTSRB,brightness,5,0.5188181331338433,0.9036421219319082,0.8731803808025497,0.8765444863149555,0.8794974391129599
GTSRB,contrast,1,2.0119617388914808,0.6018210609659541,0.5486729707261835,0.5653521749156258,0.5583593272154951
GTSRB,contrast,2,2.784049727627897,0.4735550277117973,0.42543466616727293,0.4561109435341634,0.43643289660756796
GTSRB,contrast,3,0.3483763175241513,0.9363420427553444,0.907137923508803,0.9106774071028555,0.9117664632300626
GTSRB,contrast,4,0.5850004927257333,0.8779097387173397,0.8440970819073692,0.8523116752509069,0.8472328875857692
GTSRB,contrast,5,1.1195411232002934,0.7423594615993666,0.7030919814377998,0.7079100526335821,0.7144539519294323
GTSRB,elastic_transform,1,0.7503520879683602,0.8305621536025336,0.7912329662028175,0.7957916685590642,0.7983221728277339
GTSRB,elastic_transform,2,1.9002335443443847,0.6670625494853524,0.6382403887394184,0.6388656242878503,0.6571024552162065
GTSRB,elastic_transform,3,0.6463899508059638,0.8598574821852731,0.8193995108721165,0.8283592670283325,0.8231901433584952
GTSRB,elastic_transform,4,2.760523310070083,0.47624703087885983,0.4318630589804792,0.4625078322400077,0.44212626119527026
GTSRB,elastic_transform,5,1.5559178898094763,0.7244655581947743,0.6966375879588629,0.699169298198332,0.7141880144908457
GTSRB,pixelate,1,1.569574610090218,0.7168646080760095,0.6732918125457587,0.673821257451782,0.6916298235711785
GTSRB,pixelate,2,2.874902164133786,0.5095011876484561,0.464152474862454,0.4756863408494112,0.47480109775256396
GTSRB,pixelate,3,0.4449446691359828,0.9122723673792558,0.8839251587506552,0.8906874073269292,0.8863493087259519
GTSRB,pixelate,4,2.867119104543189,0.5098970704671417,0.46636706138965045,0.4792597053671983,0.4761484419785734
GTSRB,pixelate,5,0.33373401856222445,0.9405384006334125,0.9132467091604068,0.9182052433446819,0.914922195609506
CTSD,gaussian_noise,1,1.4022422153487597,0.7388483373884833,0.7187566894188623,0.7302907526548915,0.7558246267692317
CTSD,gaussian_noise,2,0.04701283846297116,0.9910786699107867,0.9908130391183044,0.9921503053878197,0.990989175744289
CTSD,gaussian_noise,3,0.20780443480209615,0.9480940794809408,0.9611087238811645,0.9615789840476201,0.9683501580525791
CTSD,gaussian_noise,4,0.13773884246577506,0.9586374695863747,0.9581784960261359,0.9522046548290714,0.9746093993669881
CTSD,gaussian_noise,5,0.0328543537131315,0.9943227899432279,0.9959935095927581,0.9966322227371578,0.995502991433034
CTSD,shot_noise,1,0.3429467416317818,0.9472830494728305,0.9419287569830229,0.9440366452965457,0.9564588368770107
CTSD,shot_noise,2,0.03627685321064776,0.9886455798864558,0.9815697100718519,0.9779269745443475,0.9897564967168323
CTSD,shot_noise,3,0.07917723646479986,0.9837793998377939,0.9838010449245758,0.981324860050208,0.9874664048502938
CTSD,shot_noise,4,0.037454216536897365,0.9951338199513382,0.9893686549994537,0.9857802719358784,0.9963070194679298
CTSD,shot_noise,5,0.26851358001829645,0.8913219789132197,0.8925877221233006,0.8879475350966967,0.9200654746574616
CTSD,impulse_noise,1,0.04695443004038901,0.9805352798053528,0.963904139428485,0.9575204611369158,0.9836826240443669
CTSD,impulse_noise,2,0.04227585648847419,0.9854014598540146,0.9770990723843622,0.9727066613641748,0.9860404804020857
CTSD,impulse_noise,3,0.14208178940045574,0.948905109489051,0.9394288421521287,0.9358361531643804,0.9589546436931333
CTSD,impulse_noise,4,0.5595004888249914,0.8329278183292782,0.7886595907466779,0.7810473901268434,0.8368512838209112
CTSD,impulse_noise,5,0.1017873601165403,0.9845904298459043,0.9821550034847994,0.9814449160195833,0.9869962088584368
CTSD,defocus_blur,1,0.04812215684657419,0.9829683698296837,0.9774147864922034,0.9743068155868037,0.9890037828757348
CTSD,defocus_blur,2,0.03763549291095957,0.9902676399026764,0.98693831760483,0.9838789183526025,0.9931682102761976
CTSD,defocus_blur,3,0.6926417089243392,0.7996755879967559,0.7688345924426779,0.7507633815820506,0.8412002211897184
CTSD,defocus_blur,4,0.03256536837189858,0.9870235198702352,0.9808173325233556,0.9767526134997019,0.9885677541093255
CTSD,defocus_blur,5,0.025822629109372455,0.991889699918897,0.99285710258558,0.9925949162962429,0.9932327572177196
CTSD,glass_blur,1,0.014563850155668377,0.9927007299270073,0.9865876738066164,0.9811013292086901,0.9960359390968904
CTSD,glass_blur,2,0.06132083182243535,0.9829683698296837,0.9798385503305896,0.9769727023291849,0.98886250314415
