true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
10,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
11,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
12,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
13,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
14,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
15,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
16,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
17,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
18,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
19,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
20,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
21,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
22,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
23,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
24,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
25,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
26,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
27,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
28,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
29,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
30,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
31,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
32,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
33,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
34,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
35,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
36,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
37,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
38,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
39,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
40,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
41,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
42,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
43,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,2415.0,7350.0,4305.0,7035.0,7350.0,7350.0,2625.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1470.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,1785.0,7350.0,7350.0,5040.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,5355.0,3780.0,6930.0,4200.0,7140.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
