Dataset,Corruption,Severity,loss,accuracy,f1 score,precision,recall
BTSD,gaussian_noise,1,1.557021863368614,0.8954222573007103,0.8971711747271911,0.9082076352821434,0.8954222573007103
BTSD,gaussian_noise,2,1.4647450280591152,0.909234411996843,0.9097690321218329,0.9176425467518795,0.909234411996843
BTSD,gaussian_noise,3,2.249661159120212,0.8082083662194159,0.8104303802778903,0.8319834400905167,0.8082083662194159
BTSD,gaussian_noise,4,2.1915749459635485,0.8097868981846882,0.8151943902358093,0.8338569915262163,0.8097868981846882
BTSD,gaussian_noise,5,2.200398926341637,0.7983425414364641,0.8040462599962337,0.8307098405479351,0.7983425414364641
BTSD,shot_noise,1,2.374161459840746,0.7908445146014207,0.7950068687638895,0.8228725709938813,0.7908445146014207
BTSD,shot_noise,2,1.5408382304512618,0.8993685872138911,0.9000114015924202,0.9101179486126799,0.8993685872138911
BTSD,shot_noise,3,1.4546715367406067,0.898973954222573,0.8999960509229623,0.9108150828602117,0.898973954222573
BTSD,shot_noise,4,1.5384506902171573,0.8859510655090765,0.8869413879731666,0.8992498377678356,0.8859510655090765
BTSD,shot_noise,5,2.1802714800590026,0.8066298342541437,0.8094204365931362,0.8320035106134507,0.8066298342541437
BTSD,impulse_noise,1,1.6022340051988588,0.9025256511444357,0.9040268798257852,0.9134318571615461,0.9025256511444357
BTSD,impulse_noise,2,1.6215576005786445,0.8926598263614838,0.893463090156555,0.9030205466902738,0.8926598263614838
BTSD,impulse_noise,3,1.6314492038882615,0.8804262036306235,0.8833497749906163,0.8948024292146274,0.8804262036306235
BTSD,impulse_noise,4,1.5003339484985991,0.9013417521704814,0.9019028896335104,0.9126149664788941,0.9013417521704814
BTSD,impulse_noise,5,1.8116910879124595,0.8539857932123125,0.8575064381087788,0.8727179316827972,0.8539857932123125
BTSD,defocus_blur,1,1.440846741781662,0.904104183109708,0.9041760640603592,0.911716433848212,0.904104183109708
BTSD,defocus_blur,2,1.7578320682236974,0.8567482241515391,0.8604394139457519,0.8744532676605083,0.8567482241515391
BTSD,defocus_blur,3,2.0519874918244443,0.8129439621152328,0.8175616667488964,0.8367406606226361,0.8129439621152328
BTSD,defocus_blur,4,1.6089661694480946,0.8701657458563536,0.8725518797321692,0.8844806843889484,0.8701657458563536
BTSD,defocus_blur,5,1.8231533918215144,0.8595106550907656,0.8637865015314962,0.8782799621881507,0.8595106550907656
BTSD,glass_blur,1,1.4766967616498987,0.9005524861878453,0.9006502761571803,0.9097176943641986,0.9005524861878453
BTSD,glass_blur,2,1.6504536836621981,0.9009471191791634,0.9015883352421049,0.9127493860518476,0.9009471191791634
BTSD,glass_blur,3,2.0808031132772578,0.8232044198895028,0.8264417773832456,0.8465743003534328,0.8232044198895028
BTSD,glass_blur,4,1.8449818441128298,0.851223362273086,0.8545247273578795,0.871774684744133,0.851223362273086
BTSD,glass_blur,5,1.5350252535743985,0.8831886345698501,0.8845655351583828,0.8942018622414175,0.8831886345698501
BTSD,motion_blur,1,1.5840682470031677,0.8954222573007103,0.8965841501697224,0.9074803382846353,0.8954222573007103
BTSD,motion_blur,2,1.7099949202287852,0.8685872138910813,0.8690337730393249,0.8783314435630789,0.8685872138910813
BTSD,motion_blur,3,1.4485486167723396,0.904104183109708,0.9047172771747176,0.9131585104860644,0.904104183109708
BTSD,motion_blur,4,1.6012128244823796,0.8867403314917127,0.8890295320789073,0.9014358495103584,0.8867403314917127
BTSD,motion_blur,5,1.7119097054804415,0.8713496448303079,0.874248724693909,0.8864568892131148,0.8713496448303079
BTSD,zoom_blur,1,1.486925417752885,0.9080505130228888,0.9090569260365654,0.9181016149330866,0.9080505130228888
BTSD,zoom_blur,2,1.6024389397749867,0.8970007892659826,0.896437677820649,0.9072303158398652,0.8970007892659826
BTSD,zoom_blur,3,1.5990551150776593,0.8898973954222573,0.8920438819536247,0.9034600258886297,0.8898973954222573
BTSD,zoom_blur,4,1.5552853756104967,0.8970007892659826,0.8978587322967553,0.9073635020716142,0.8970007892659826
BTSD,zoom_blur,5,2.1257066857701883,0.8093922651933702,0.8112838612855451,0.8353155505190824,0.8093922651933702
BTSD,snow,1,3.19202640382154,0.7237569060773481,0.7342364377507353,0.7730365134098194,0.7237569060773481
BTSD,snow,2,1.5235365830070025,0.8902920284135754,0.8913522092035466,0.9008679884033283,0.8902920284135754
BTSD,snow,3,1.6606308079288645,0.8835832675611681,0.8853832695116397,0.8982794280950865,0.8835832675611681
BTSD,snow,4,2.5797366495666867,0.7505919494869772,0.7566504354822484,0.7929226908547364,0.7505919494869772
BTSD,snow,5,1.729663213495909,0.8891081294396211,0.890273213864518,0.9018357245667518,0.8891081294396211
BTSD,fog,1,1.6242205214884424,0.8973954222573007,0.8991383621381333,0.9099635701208779,0.8973954222573007
BTSD,fog,2,1.5663956053255106,0.8721389108129439,0.8733099824397197,0.8861191943971475,0.8721389108129439
BTSD,fog,3,1.614695739233315,0.8827940015785319,0.8829151116684655,0.8926371369437494,0.8827940015785319
BTSD,fog,4,1.8307659740794242,0.8539857932123125,0.8597623397119516,0.8755444932455543,0.8539857932123125
BTSD,fog,5,1.5245354523692625,0.8788476716653513,0.8798719379120139,0.8901149353624476,0.8788476716653513
BTSD,frost,1,2.2093208528990433,0.8196527229676401,0.8288057824345709,0.8595533060357602,0.8196527229676401
BTSD,frost,2,1.4073841961919786,0.9064719810576164,0.9072382307233424,0.9153315023910047,0.9064719810576164
BTSD,frost,3,1.4886890274091038,0.8966061562746646,0.8994492419613849,0.908911049764064,0.8966061562746646
BTSD,frost,4,1.5512806361551443,0.8922651933701657,0.8932516753502312,0.9036356064110969,0.8922651933701657
BTSD,frost,5,2.14189467658513,0.8141278610891871,0.8175268768172798,0.8331925356988334,0.8141278610891871
BTSD,brightness,1,1.4442337547100335,0.9001578531965272,0.900185301588693,0.9095418184542612,0.9001578531965272
BTSD,brightness,2,1.469536307531364,0.9060773480662984,0.9069550548528114,0.9160391377196038,0.9060773480662984
BTSD,brightness,3,1.5261004292468623,0.8981846882399369,0.8978728648209325,0.9076617907760878,0.8981846882399369
BTSD,brightness,4,1.516238350083062,0.8942383583267561,0.8953317736808148,0.9041892467802164,0.8942383583267561
BTSD,brightness,5,1.9320307484083319,0.84017363851618,0.8409250589210869,0.8560006491308659,0.84017363851618
BTSD,contrast,1,1.4951640143106606,0.9029202841357538,0.9038666903180352,0.9128229468532637,0.9029202841357538
BTSD,contrast,2,1.3813590087254195,0.9056827150749802,0.9063142890312439,0.9155016060138875,0.9056827150749802
BTSD,contrast,3,1.5748451484783297,0.8768745067087609,0.8791115015417793,0.8896719006329037,0.8768745067087609
BTSD,contrast,4,1.8052658664022927,0.8437253354380426,0.8453178028803401,0.8633475442891181,0.8437253354380426
BTSD,contrast,5,3.1104066896927853,0.7269139700078927,0.7357651072704338,0.7781266754503942,0.7269139700078927
BTSD,elastic_transform,1,2.2042404334189483,0.803078137332281,0.8062360452615974,0.830987958985216,0.803078137332281
BTSD,elastic_transform,2,1.5496999491785302,0.9001578531965272,0.9007749393908794,0.9098739884400145,0.9001578531965272
BTSD,elastic_transform,3,1.574088076219233,0.8721389108129439,0.8748076758222151,0.8887632885339919,0.8721389108129439
BTSD,elastic_transform,4,1.7492157213195818,0.861878453038674,0.8642040868924482,0.8781807061862024,0.861878453038674
