Dataset,Corruption,Severity,loss,accuracy,f1 score,precision,recall
GTSRB,gaussian_noise,1,0.4145755657441737,0.9139350752177355,0.8786960316792282,0.8789458789160305,0.8857852076396061
GTSRB,gaussian_noise,2,0.5065296594147892,0.8932699920823436,0.860035809983307,0.8607883206235836,0.8678178641940018
GTSRB,gaussian_noise,3,0.6023410772342863,0.8726049089469518,0.8368571617021395,0.8323444625474005,0.8504947568066882
GTSRB,gaussian_noise,4,0.6648002878834308,0.8570071258907364,0.818795108544841,0.8158167262984187,0.8310166234544394
GTSRB,gaussian_noise,5,0.7143218515934873,0.8510688836104513,0.8173830038655527,0.816964548506845,0.8268975109917982
GTSRB,shot_noise,1,0.4642880846585515,0.9044338875692794,0.8710629564699901,0.8691559746730408,0.8803721565480916
GTSRB,shot_noise,2,0.6029964289869095,0.8684877276326207,0.8308691092450413,0.8266094787395042,0.8422172856353847
GTSRB,shot_noise,3,0.8176947609545783,0.8154394299287411,0.7782178260381557,0.7732853733202453,0.7930613155428627
GTSRB,shot_noise,4,1.2472886818604911,0.7216152019002375,0.688802045351067,0.6876908395205207,0.7038907028914613
GTSRB,shot_noise,5,1.559274204345516,0.654473475851148,0.6252435864586166,0.6254394426155393,0.6425956982855365
GTSRB,impulse_noise,1,0.5267116175281652,0.884639746634996,0.8491726775713361,0.8480944669341335,0.8584316524018242
GTSRB,impulse_noise,2,0.7199303223373205,0.8401425178147268,0.8015269651071514,0.798325791804319,0.8162338304507161
GTSRB,impulse_noise,3,0.8818639234192109,0.7944576405384006,0.758588527647347,0.7554720413462018,0.775512881156966
GTSRB,impulse_noise,4,1.3016833229425495,0.6906571654790182,0.6608750446078983,0.66086187357402,0.6799185236644792
GTSRB,impulse_noise,5,1.7454703453506446,0.5915281076801266,0.5571986345511957,0.5608714712641631,0.5805034056775716
GTSRB,defocus_blur,1,0.34668889585318324,0.9333333333333333,0.9019072420159522,0.8999842464754514,0.9106131364516096
GTSRB,defocus_blur,2,0.4349281221716676,0.9084718923198734,0.8723976741243443,0.8768660480617908,0.8771754329350387
GTSRB,defocus_blur,3,0.6272384627343923,0.8635787806809184,0.8208518210754809,0.8254528583488251,0.8264380858534044
GTSRB,defocus_blur,4,0.9125221455347321,0.7967537608867775,0.7467080143879109,0.7522396247878607,0.7530065150742602
GTSRB,defocus_blur,5,1.2659209310489332,0.7192399049881235,0.667528559278039,0.6731096906723673,0.6768825128640599
GTSRB,glass_blur,1,0.8867809485841722,0.7939825811559779,0.7563700052501899,0.7509981467865586,0.7708687562577856
GTSRB,glass_blur,2,1.3522543739205963,0.683452098178939,0.6431766180523963,0.6402131362656345,0.66306038097393
GTSRB,glass_blur,3,2.1017232709712483,0.536658749010293,0.4946457458873869,0.4971929814623494,0.5121947780901269
GTSRB,glass_blur,4,1.7973121215498646,0.5873317498020586,0.5487346214642649,0.5519840717386985,0.5671817562843853
GTSRB,glass_blur,5,2.6047199932243363,0.4388756927949327,0.3982422707795751,0.406048704014723,0.41387041598442004
GTSRB,motion_blur,1,0.38819863194244325,0.9268408551068884,0.8919584621934974,0.8947146901548346,0.8957464101078861
GTSRB,motion_blur,2,0.4910519187506775,0.8991290577988915,0.8603760907510403,0.8684442678926633,0.8619165015039637
