epoch,train_loss,train_acc,test_loss,test_acc,test_f1
1,1.980362276232187,0.5021293855201785,1.2287018825054556,0.7339821573398215,0.41283171572770405
2,0.6720441137528328,0.8223484080308254,0.45928010436353506,0.9156528791565288,0.7258516575735587
3,0.29093285389070794,0.9302372743865341,0.19482509594860836,0.9699918896999189,0.902117944447204
4,0.1135922500864049,0.9766781585885216,0.1243712585011538,0.981346309813463,0.946838772629663
5,0.06535416016367622,0.9876292841208679,0.05874368953552559,0.9910786699107867,0.9580526977925827
6,0.03584160163010431,0.9957412289596431,0.04886197541981621,0.9943227899432279,0.9899463825709557
7,0.025652730174149613,0.9959440275806124,0.025082434588757745,0.9975669099756691,0.9788283840915422
8,0.02107096010642672,0.9959440275806124,0.024688410497929927,0.9959448499594485,0.9973381371088124
9,0.012110626229442562,0.9987832082741838,0.014545642866753796,1.0,1.0
10,0.011856087610198069,0.998377611032245,0.012038735003608664,1.0,1.0
11,0.00784681168052626,0.9993916041370918,0.012035381690193412,0.9983779399837794,0.9990643274853801
12,0.006246877863948031,0.9993916041370918,0.009139715995645606,1.0,1.0
13,0.004554733595229297,0.9993916041370918,0.0074196462100258416,1.0,1.0
14,0.0036605346569788793,0.9997972013790306,0.005714443202197721,1.0,1.0
15,0.004208755114893356,0.9995944027580612,0.004741343556482583,1.0,1.0
16,0.0030734218458041227,0.9997972013790306,0.00756549768282791,0.9991889699918897,0.9995282516834799
17,0.004123880737277001,0.9993916041370918,0.004415183640798948,1.0,1.0
18,0.002848973164886963,0.9997972013790306,0.0037795718019452045,1.0,1.0
19,0.0019648306467112352,1.0,0.004217493755135622,1.0,1.0
20,0.0016347963806401158,1.0,0.0034138665163310944,1.0,1.0
21,0.0015910310976751582,1.0,0.003155108693449336,1.0,1.0
22,0.0015334887185011795,1.0,0.0031042494405127477,1.0,1.0
23,0.00236011757750043,0.9993916041370918,0.0035742013704821783,1.0,1.0
24,0.001196013141736612,1.0,0.002501411064560408,1.0,1.0
25,0.0009146606526790854,1.0,0.002946461397748129,1.0,1.0
26,0.0010642339582873244,1.0,0.0023050838979436967,1.0,1.0
27,0.00131116525533142,1.0,0.0022516311504156765,1.0,1.0
28,0.001113373593609879,1.0,0.0026586927847056033,1.0,1.0
29,0.0008167047285650676,1.0,0.0023755171608719114,1.0,1.0
30,0.001268322582501968,0.9997972013790306,0.0027049993555154426,1.0,1.0
31,0.0011349343979469427,1.0,0.0022996727862287336,1.0,1.0
32,0.0008052092875538896,1.0,0.002225037524438881,1.0,1.0
33,0.000731888177007708,1.0,0.0021797902013469014,1.0,1.0
34,0.0006946161878125258,1.0,0.0019209429368471905,1.0,1.0
35,0.0007686764879505934,1.0,0.0017347317459953033,1.0,1.0
36,0.0006825434124698593,1.0,0.0018777641340193625,1.0,1.0
37,0.0006464353997923836,1.0,0.0018393936338898667,1.0,1.0
38,0.0006441081955475924,1.0,0.0017675152677753359,1.0,1.0
39,0.0005815744011800209,1.0,0.0016869691351431649,1.0,1.0
40,0.0006582436951057114,1.0,0.0016737394202451486,1.0,1.0
41,0.0006127897557220587,1.0,0.0016411926723119334,1.0,1.0
42,0.0008299195774882062,0.9997972013790306,0.001822233490922714,1.0,1.0
43,0.0005865795471724572,1.0,0.0018049498828504136,1.0,1.0
44,0.0005339194541803463,1.0,0.0016335628917123533,1.0,1.0
45,0.0005803570209454071,1.0,0.001724978624136827,1.0,1.0
46,0.0005121250662951623,1.0,0.00171006721707283,1.0,1.0
47,0.0006025625613230598,1.0,0.0017305836871297333,1.0,1.0
48,0.0005401457281025095,1.0,0.0017081909023288755,1.0,1.0
49,0.0005681656167843958,1.0,0.0017235253952460217,1.0,1.0
50,0.0005814670858486559,1.0,0.0016760796136963004,1.0,1.0
