epoch,train_loss,train_acc,test_loss,test_acc,test_f1
1,2.1310600013816074,0.46400324477793553,1.1320990599564973,0.7145174371451744,0.41940989301921067
2,0.80360889604345,0.7793551003853174,0.4716195071845739,0.8791565287915653,0.6562100156938504
3,0.4055800961326378,0.8955587102007706,0.2679585467628222,0.9318734793187348,0.8319852241212331
4,0.2211444471579153,0.94463597647536,0.10413575101121111,0.9845904298459043,0.9400469530422053
5,0.13579871958789128,0.9691746096126547,0.06555530089289796,0.9910786699107867,0.9735743500708123
6,0.09959938588979592,0.9774893530723991,0.042654755357607585,0.9943227899432279,0.9718505075612739
7,0.08048658101279096,0.9811397282498479,0.0229370281952286,0.9959448499594485,0.9790953698533226
8,0.06928904511561816,0.983370513080511,0.030021472028112953,0.9927007299270073,0.9686344991480685
9,0.06894200399617736,0.983370513080511,0.01492509926085429,1.0,1.0
10,0.06852079981107351,0.9827621172176029,0.018067711080701696,0.9967558799675588,0.9981924899543401
11,0.04390618861548087,0.9906712634354087,0.009645210273884122,1.0,1.0
12,0.04347147350770855,0.9890488744676537,0.009327554535226473,1.0,1.0
13,0.04630784054413888,0.9872236868789293,0.006280649870344032,1.0,1.0
14,0.04450340472808464,0.9900628675725005,0.009912511440985726,0.9959448499594485,0.9918633352617239
15,0.0337010094499991,0.9929020482660718,0.005521444698217093,1.0,1.0
16,0.03366022327390906,0.9918880551612249,0.004148601116997773,0.9991889699918897,0.9994701388158382
17,0.03830260950764118,0.9904684648144393,0.007211834389417276,0.9975669099756691,0.995705031377546
18,0.03009490306141458,0.9926992496451024,0.007254180241419971,0.9983779399837794,0.9966507177033493
19,0.03131831151058758,0.9916852565402555,0.007457195888239428,0.9991889699918897,0.9821776663881928
20,0.029288550438280055,0.9937132427499493,0.013127990120633627,0.9959448499594485,0.9773397181174875
21,0.03261614581061967,0.9920908537821943,0.005007860244350736,1.0,1.0
22,0.03660230719110613,0.9910768606773473,0.004284911319939759,1.0,1.0
23,0.023337215928254485,0.9941188399918881,0.0017611418736665015,1.0,1.0
24,0.03340407324185407,0.9920908537821943,0.0018633324647245252,1.0,1.0
25,0.03175879793237465,0.9916852565402555,0.0023758399858466515,1.0,1.0
26,0.02033126145855115,0.995132833096735,0.00159811596642947,1.0,1.0
27,0.02372392569314458,0.9939160413709187,0.005033283532273843,0.9983779399837794,0.9966507177033493
28,0.0221867060724701,0.9937132427499493,0.0013100693872578394,1.0,1.0
29,0.023199240711858166,0.9943216386128574,0.0029896694006166435,1.0,1.0
30,0.024304261774465343,0.9937132427499493,0.001363439475517004,1.0,1.0
31,0.019704248290792294,0.9957412289596431,0.001038789652840862,1.0,1.0
32,0.019715811050149662,0.9945244372338268,0.0010870609071127622,1.0,1.0
33,0.028559884445900803,0.9908740620563781,0.0025807704145069154,1.0,1.0
34,0.03716019577288381,0.9908740620563781,0.0035711890421709575,0.9991889699918897,0.9958414554905782
35,0.024593798869390126,0.9945244372338268,0.0009992982187049292,1.0,1.0
36,0.023531439618753917,0.9939160413709187,0.003093173993836004,0.9991889699918897,0.9988749854066503
37,0.027558577109465937,0.9918880551612249,0.0014555752997770786,1.0,1.0
38,0.02000733897716254,0.9941188399918881,0.0020342611784979533,1.0,1.0
39,0.02328283101034316,0.9955384303386737,0.0016835346902891854,0.9991889699918897,0.9996025446076691
40,0.01851682520154777,0.9943216386128574,0.002489519814738025,0.9991889699918897,0.9940258319660061
41,0.01598478654590085,0.9959440275806124,0.000751617761122139,1.0,1.0
42,0.019277499207882676,0.9943216386128574,0.000727096516435055,1.0,1.0
43,0.02469709693488014,0.9931048468870411,0.0012980400804061645,1.0,1.0
44,0.02461032397535867,0.9933076455080105,0.001742816416254767,0.9991889699918897,0.9995200678928347
45,0.019393312615041944,0.9955384303386737,0.0009985435078039898,1.0,1.0
46,0.012247971124581416,0.9973636179273981,0.001250217430868579,1.0,1.0
47,0.018408481935970295,0.9955384303386737,0.0008922486602310212,1.0,1.0
48,0.016379047998838554,0.9953356317177043,0.0005672980594870409,1.0,1.0
49,0.019058958027051747,0.995132833096735,0.0015675028642455973,0.9991889699918897,0.9821776663881928
50,0.019534157199626083,0.9945244372338268,0.002247330626779306,1.0,1.0
51,0.01483150162886888,0.9957412289596431,0.00024932763087389965,1.0,1.0
52,0.012779731533356589,0.99675522206449,0.0006850447385284493,1.0,1.0
53,0.011544655918012802,0.9979720137903062,0.00020869911347658402,1.0,1.0
54,0.018350574189256494,0.9963496248225512,0.001541960365711111,1.0,1.0
55,0.018575631502862393,0.995132833096735,0.000313300575990387,1.0,1.0
56,0.027866337081948925,0.9937132427499493,0.000904577394702116,1.0,1.0
57,0.018115483414396095,0.9945244372338268,0.0004357318049738605,1.0,1.0
58,0.011781734136569527,0.9969580206854594,0.0002572924166933663,1.0,1.0
59,0.013734579980607583,0.9953356317177043,0.0004915283252993056,1.0,1.0
60,0.022606472681382078,0.9953356317177043,0.0038516665517582143,0.9983779399837794,0.997881991303044
61,0.0110626310657629,0.9975664165483674,0.00021982241350842455,1.0,1.0
62,0.01627208124540249,0.9959440275806124,0.0002352333799974588,1.0,1.0
63,0.018927404712156575,0.9933076455080105,0.00035211001577128455,1.0,1.0
64,0.017242127412424334,0.9947272358547962,0.001478120939925446,1.0,1.0
65,0.01921499372739288,0.9943216386128574,0.0008727747037559627,1.0,1.0
66,0.02217632656925664,0.9945244372338268,0.0003177965928648205,1.0,1.0
67,0.014582019890647226,0.9961468262015818,0.0002394587845112509,1.0,1.0
68,0.014275979835697197,0.9959440275806124,0.0002945097887634382,1.0,1.0
69,0.01744176547908621,0.9949300344757656,0.0027738275893077115,0.9991889699918897,0.9821776663881928
70,0.014892645187402468,0.9963496248225512,0.0005771694185600495,1.0,1.0
71,0.018936354132065833,0.9947272358547962,0.0008871595939424565,1.0,1.0
72,0.01801979341120904,0.9953356317177043,0.0005207258034557926,1.0,1.0
73,0.012288794341425163,0.99675522206449,0.0009543698497074268,1.0,1.0
74,0.010196600064859656,0.9977692151693368,0.0007472554554649446,1.0,1.0
75,0.012760691791606635,0.99675522206449,0.0007716549768627452,1.0,1.0
76,0.011484747193867042,0.9963496248225512,0.004644069937105001,0.9983779399837794,0.9966507177033493
77,0.008211231163667586,0.998377611032245,0.00013990926243346305,1.0,1.0
78,0.008903096834807174,0.998377611032245,0.00047501653356793726,1.0,1.0
79,0.010230283254216975,0.9975664165483674,0.002535010196676154,0.9983779399837794,0.9966507177033493
80,0.010832225471430966,0.9975664165483674,0.00011073866220729671,1.0,1.0
81,0.011504573745237423,0.9969580206854594,0.0001584324332476055,1.0,1.0
82,0.01572256501748194,0.99675522206449,0.002058015735786418,0.9983779399837794,0.9966507177033493
83,0.01035574896371019,0.9979720137903062,9.042783577125146e-05,1.0,1.0
84,0.008775230668480868,0.9975664165483674,0.00888148334479595,0.9983779399837794,0.9966507177033493
85,0.008538430831662815,0.9977692151693368,0.008487887916099265,0.9983779399837794,0.9966507177033493
86,0.014081695825133501,0.9961468262015818,0.00021763690954800514,1.0,1.0
87,0.01321800880218531,0.9969580206854594,0.001002775201801889,1.0,1.0
88,0.012160114283664777,0.9975664165483674,0.0008337801293756425,0.9991889699918897,0.9984338814748172
89,0.009530494409069175,0.9979720137903062,0.0007031761522758722,1.0,1.0
90,0.01436364043922151,0.9959440275806124,0.0005790091861157987,1.0,1.0
91,0.007167511164268507,0.9979720137903062,0.0002866702083277683,1.0,1.0
92,0.010099827433282615,0.9975664165483674,0.00026752671777495067,1.0,1.0
93,0.011496029841150583,0.9975664165483674,0.00015070210110897686,1.0,1.0
94,0.008358312968070814,0.9971608193064287,9.49651369691312e-05,1.0,1.0
