train loss,train accuracy,train f1,train precision,train recall,test loss,test accuracy,test f1,test precision,test recall
3.3937989525014967,0.2019167937268569,0.12148298183295587,0.14733074465950508,0.14393996591208286,3.5137223510546485,0.2324388318863457,0.13915769288656096,0.15784216036290524,0.1593677447526885
1.990344920440895,0.48682204312785887,0.35512506306706115,0.36390524099576765,0.43124313773790157,2.82242547628347,0.3685872138910813,0.20545831481919083,0.24631520978888635,0.2602983469167186
1.159175860494914,0.6883032019167937,0.5778986786362259,0.5570857114430758,0.6707681956381991,2.1898914593453473,0.48066298342541436,0.2844625307392159,0.35252632702117453,0.37085258684527783
0.7675403186280959,0.7684600304944457,0.6848085730989086,0.6501513952129623,0.7824504726395802,1.7331605998192043,0.5998421468034728,0.3752100003640957,0.42367950124804815,0.43324693094273237
0.5619014704884384,0.8253103898932694,0.7619414799765516,0.7278350382126203,0.8383337195422239,1.6222370873310477,0.6483820047355959,0.42411745373759707,0.45915371444913805,0.46808024935532777
0.42091104062365386,0.8579830102374211,0.824389652327444,0.7955815470900399,0.8806913957878526,1.4119531199418378,0.681136543014996,0.4606368189893149,0.48185132533522124,0.5084405301560748
0.33142449018535103,0.8817251143541712,0.8441893651064007,0.8133569216465404,0.9050099560165551,1.56442630469752,0.6854775059194949,0.46696285129961324,0.4922823532520601,0.5156818844794221
0.28837332293712553,0.8956654323676759,0.8599343655037807,0.8296756759934829,0.914571356827749,1.39460570443401,0.7146803472770323,0.5099520288728278,0.5321743255841509,0.5663535912816391
0.23252466829922486,0.9139620997604008,0.8891012854866449,0.8657880123552787,0.9324533623828526,1.3793193092474152,0.6985003946329913,0.4930393660281627,0.5160272644062844,0.5449121923015515
0.18555164916521583,0.9259420605532563,0.9044717639277912,0.8776220235272745,0.9473453599386094,1.4512896027824684,0.7099447513812155,0.47835048733185837,0.49262530944065236,0.5357258394468783
0.16240471021149108,0.9318231322152036,0.9212694078023705,0.899515719818297,0.9531013875910105,1.3059249608273946,0.7241515390686661,0.5157483897429239,0.5282279551707004,0.5755821597430256
0.152023850636489,0.9363972990633849,0.9215974517837349,0.8995926695729773,0.9529677838975397,1.2839851069845547,0.7419100236779794,0.5216024692396378,0.5197988080177983,0.5731067577959935
0.11580479937090096,0.9529514267044217,0.9465805363391907,0.9305412030884948,0.969525154030659,1.2104754230594108,0.7513812154696132,0.5409118403238089,0.5356312123767815,0.605956284512476
