epoch,train_loss,train_acc,test_loss,test_acc,test_f1
1,2.295135505810669,0.43367458070137227,1.7635586305029674,0.5520915548539858,0.24835655790560643
2,1.0703242678342109,0.7074711391853626,1.020418579313072,0.7801894238358327,0.47680553747872306
3,0.6523215139750899,0.8203005881071662,0.6310108032580333,0.8468823993685872,0.5711112249103749
4,0.44657154533500065,0.8756262252232629,0.5255142691197504,0.8693764798737175,0.597744036517634
5,0.32644030622500164,0.9072097582226094,0.4807636640913014,0.8772691397000789,0.6592278161336658
6,0.23867446211422486,0.9333478544979308,0.43308866075765645,0.8709550118389897,0.657846475911209
7,0.2229110774742547,0.9366151165323459,0.3847724031113035,0.8930544593528019,0.6801024217045537
8,0.16802411395151665,0.9549117839250708,0.3754937311115468,0.8970007892659826,0.6578324109180467
9,0.13522168821926028,0.9631888477455892,0.31990752428558367,0.9163378058405682,0.7062002323854546
10,0.11481771309783168,0.9688521019385755,0.3555932674900979,0.8958168902920284,0.6978617280418862
11,0.08940653615649218,0.9751688085384448,0.33349961169422754,0.9116022099447514,0.6974521294089346
12,0.07585075383539736,0.979742975386626,0.3014463126753481,0.919889502762431,0.698391553402801
13,0.06301303673312442,0.9836636898279242,0.33330643649823855,0.9001578531965272,0.6721671391140602
14,0.05642599771434226,0.9856240470485733,0.34789597939908645,0.9123914759273876,0.6937275105125571
15,0.06231529075766773,0.9851884121106512,0.3727148856670723,0.9005524861878453,0.700237626097344
16,0.043831853834217185,0.9891091265519495,0.3172789326594774,0.9116022099447514,0.6853336034432939
17,0.03303248159655544,0.9925942060553257,0.3325258792387564,0.9131807419100236,0.6725476293965106
18,0.023809368977539422,0.9965149204966238,0.31522351195234527,0.9139700078926598,0.6821920811568136
19,0.02102459551986819,0.9971683729035069,0.318047677191017,0.9123914759273876,0.6967137314379314
20,0.024354625242960865,0.9939011108690917,0.3466511559279396,0.9064719810576164,0.6832145860742236
21,0.01691089609704394,0.9971683729035069,0.3134971234091832,0.9171270718232044,0.7043368661814023
22,0.014744687162906068,0.9978218253103899,0.3039139512494124,0.9187056037884768,0.6939473006630373
23,0.012606762964266289,0.998693095186234,0.2995696092743335,0.9238358326756116,0.7104421948883194
24,0.010612684894276877,0.9991287301241559,0.3115767014713483,0.920678768745067,0.7226308003577272
25,0.00919333568282638,0.999782182531039,0.3174540019331716,0.9187056037884768,0.7246776898109805
26,0.010119088588879275,0.9989109126551949,0.31288931392362573,0.914759273875296,0.6965991292486049
27,0.009579497178116998,0.9989109126551949,0.30637229860252346,0.920284135753749,0.6952057372303448
28,0.008236574989069432,0.9991287301241559,0.3122853725184205,0.9194948697711128,0.7252183088072999
29,0.007243592222591412,0.9991287301241559,0.3172522962751968,0.919889502762431,0.7150383746894151
30,0.006469693685149678,0.9993465475931169,0.31081599467555276,0.9226519337016574,0.7094958161338918
31,0.00583983773886557,0.999782182531039,0.31704909719626734,0.9234411996842936,0.7330314797667936
32,0.005360478518051575,1.0,0.30776634920556056,0.920284135753749,0.7004462255728257
33,0.005149179906822681,1.0,0.31080533405317506,0.9218626677190213,0.7025851030373486
34,0.004645941460834164,0.9993465475931169,0.3138267816453819,0.919889502762431,0.699725425417156
35,0.0044924355479899775,0.999782182531039,0.3158354838485311,0.9210734017363852,0.6956880552818918
36,0.004768790802759131,0.999564365062078,0.30535354168281464,0.9226519337016574,0.7044159799730704
37,0.0036040331115100256,0.999782182531039,0.3064878471930759,0.9230465666929756,0.709326740873304
38,0.00380545416313354,1.0,0.31127195503642074,0.919889502762431,0.6993139502537706
39,0.004149840770813082,0.999782182531039,0.3110241700601841,0.920678768745067,0.7042335881530057
40,0.003771592811378057,0.999782182531039,0.3125990346932656,0.9210734017363852,0.7097370518012158
41,0.0035689525970382984,0.999782182531039,0.3056346341297207,0.9234411996842936,0.711761658734892
42,0.0035815629233037953,1.0,0.3082112924922802,0.920284135753749,0.7074214059994598
43,0.003295714624604018,1.0,0.3073799040906525,0.9222573007103394,0.7086843164807524
44,0.00318982099492567,1.0,0.3069431616644645,0.9222573007103394,0.7079251100270573
45,0.0037238573177957607,0.999782182531039,0.30706204875021725,0.9214680347277032,0.6960787364199272
46,0.003636294864811875,0.999782182531039,0.3073144898747683,0.9210734017363852,0.694490758254931
47,0.0027865270369543576,1.0,0.3075392589902163,0.9214680347277032,0.7078008462815312
48,0.0031963375684476787,1.0,0.30752802833667775,0.9210734017363852,0.7072595782532324
49,0.0029746195585618053,1.0,0.30851217939708775,0.9218626677190213,0.7089518981012615
50,0.0030446341791742185,1.0,0.30796404226426544,0.9218626677190213,0.707923052660597
