train loss,train accuracy,train f1,train precision,train recall,test loss,test accuracy,test f1,test precision,test recall
0.11579887991446021,0.9660792165064144,0.9563884194776796,0.9481149589802518,0.9657235538406156,0.5871077525549622,0.8713380839271576,0.8338850492871936,0.8476098061650058,0.843530113999022
0.08181338217408014,0.9751842689178505,0.9698628487157942,0.9639163279901924,0.9763290884841803,0.7488800533593692,0.8531274742676168,0.8098601849163802,0.8524818665168319,0.8117853721195479
0.05093083168783486,0.9829120865107501,0.9802446287637605,0.9764082346434259,0.9842746627331246,0.41901539685831407,0.918923198733175,0.894901325378235,0.899365758290729,0.8996578471522861
0.04334512506997984,0.9858450865872631,0.9841499915807971,0.9807167164853396,0.987713140078056,0.5105505156592538,0.902375296912114,0.8804055241662032,0.8833350891186242,0.8921842742884198
0.019682729135886267,0.9923997041495575,0.9927668428318788,0.9912950461534945,0.9942662006740973,0.45366042553346164,0.9145684877276327,0.8928024471760062,0.9106734293204184,0.8842339663014586
0.05822816510718303,0.982172460404499,0.9801614940280692,0.9759475638629698,0.9846375680813313,0.6050735655772372,0.894061757719715,0.8719599877906119,0.8949566251365867,0.8668030545831354
0.02889039839739926,0.9906654084521411,0.9896565261229696,0.9875529782176389,0.9918080051269772,0.5088343205383181,0.9066508313539192,0.8745976226027768,0.8916204500955495,0.8799315951527783
0.01840657275673053,0.99334336504374,0.9931405917376169,0.9918632328361588,0.994435676988985,0.5364781967639298,0.9049881235154394,0.8752521978324104,0.886587051659189,0.8791225811880512
0.016159499491849375,0.9941595041954653,0.9940757588634959,0.9930678014241028,0.9951000248061158,0.37733980294019104,0.9281868566904197,0.9096303073727504,0.921025650430998,0.9080808579130117
0.022115290937141704,0.9928842867708945,0.9925316119203875,0.9909406212964283,0.9941676381520428,0.686223753707768,0.8829770387965162,0.844502641871366,0.8529722287035066,0.870740538783764
0.01826073813870205,0.9937004259226198,0.9931484784190229,0.9919942434445768,0.9943222186240191,0.5127611474186982,0.9119556611243073,0.8948145745534389,0.9058930654625688,0.8958613738057619
0.005588209622104879,0.9977046086357724,0.997752766044088,0.9971388938432388,0.9983782606987974,0.4832035961869871,0.9144893111638955,0.8978460322724663,0.9091482838170348,0.896708517711551
0.02866379832919289,0.9907419214976153,0.9896783730537652,0.987404171891106,0.992030996770845,0.5320196779401308,0.9069675376088677,0.879059306925279,0.8808224335578942,0.8901368725458715
0.008635200848809397,0.9966079216506414,0.9966826359968238,0.995970233131792,0.9974026501941612,0.47216475310835687,0.9252573238321457,0.9049496855063341,0.9113471881478541,0.9069288246955082
0.0016935954265132956,0.9990563391058176,0.9993277929970842,0.9992118382830651,0.9994444257742816,0.39737873644660077,0.9338083927157561,0.9183704767453049,0.9200411403342442,0.9223769940410487
0.004439595476138982,0.9983677216965493,0.9983660662048862,0.9982094706908361,0.9985250154524761,0.38709253898084567,0.9310372129849565,0.9119982478515973,0.9154455608207811,0.9179624400802358
0.012046002629350185,0.996148843377796,0.9964693561449317,0.9958374537581673,0.9971116510639634,0.36043743248921983,0.931353919239905,0.9083647156659622,0.9067309857437987,0.9214486346612231
0.006869304656879724,0.9977301129842638,0.9976376066854032,0.9972403971463905,0.9980378391305824,0.4385086856217706,0.9269992082343627,0.905522429340614,0.9151057448655168,0.9073710689284502
0.01109826936065079,0.9964548955596929,0.9960978745951903,0.9953514733557477,0.9968554963575498,0.43180740775913035,0.9269200316706255,0.9023235577375028,0.891991839208644,0.9207818822285456
0.004069681725249742,0.9985972608329721,0.9986732147821443,0.998390747985148,0.9989575459078325,0.43311963724936564,0.9331749802058591,0.9102763125171728,0.9164370611695031,0.9138134460098566
0.009208754198756707,0.9972200260144355,0.9968870614371856,0.996444880646992,0.9973345733928416,0.4436355784019535,0.9302454473475851,0.9072205237282911,0.9186015573058363,0.9057368107494496
0.004092574752176887,0.9983422173480578,0.998608586929931,0.9984796382909654,0.9987384390619436,0.3850739726657887,0.9364212193190815,0.9205551813796348,0.9236750213884027,0.9241840132772893
0.004917101951065939,0.9986482695299549,0.9985641750921582,0.9983471743467168,0.9987824441851303,0.3919459883722857,0.9328582739509105,0.9136076275745308,0.9220927924572615,0.913883547125458
