train loss,train accuracy,train f1,train precision,train recall,test loss,test accuracy,test f1,test precision,test recall
0.5018283656904684,0.840302981031473,0.8468482547293075,0.8652193774971118,0.840302981031473,1.3855900224295132,0.77578176239759,0.7941063924461966,0.8376642199379946,0.77578176239759
0.14767467158642547,0.9436589039793104,0.9446040337802406,0.947693464602403,0.9436589039793104,1.2976399793463418,0.8120435319096901,0.8261880788938434,0.8553065759818956,0.8120435319096901
0.09236144609743717,0.9627071950325345,0.9630816072205132,0.964421922103432,0.9627071950325345,1.4116575609194941,0.830168858454595,0.8390393339521423,0.8611541148477452,0.830168858454595
0.0695162079911184,0.9711253800301263,0.9713550299051399,0.9721761455334261,0.9711253800301263,1.539099110191972,0.84547617194882,0.8514221976080085,0.8647613039637626,0.84547617194882
0.0506498137502807,0.9781814388837928,0.97830110635765,0.9787581635588318,0.9781814388837928,1.6788264796347063,0.8402458952610692,0.8479533528779326,0.8686150499942588,0.8402458952610692
0.03518764833326469,0.983553247167606,0.9836059659603309,0.9838269639539025,0.983553247167606,1.759044246258829,0.8522293984903898,0.8585097657502476,0.8744023289933547,0.8522293984903898
0.023604790169217474,0.9880599212789261,0.9880821533889331,0.9881848967903697,0.9880599212789261,1.9098963783422909,0.8594161655012951,0.862340201018005,0.8772137551166653,0.8594161655012951
0.016543084775082866,0.9910725516242741,0.9910800628347416,0.9911290779682574,0.9910725516242741,1.8780298604220547,0.8622175039185389,0.8654279867690419,0.8783333850452835,0.8622175039185389
0.012873191807886573,0.9930635873616782,0.9930684188514075,0.9930984835896187,0.9930635873616782,1.8861717646658376,0.8639516657958802,0.8674308433075524,0.8792372759835222,0.8639516657958802
0.010189316480482694,0.99401155352941,0.9940131478788328,0.9940317816749689,0.99401155352941,1.9540442453053017,0.866992007292373,0.8691623913682738,0.8802075929743834,0.866992007292373
