epoch,train_loss,train_acc,test_loss,test_acc,test_f1
1,0.9814265398933095,0.7204723405340611,0.29624043458148025,0.931908155186065,0.9100590772631306
2,0.30263915457105656,0.9164477543421153,0.16886848652689634,0.9605700712589074,0.943254653891576
3,0.23592367887393575,0.9350659287408503,0.12161406194783823,0.9697545526524148,0.9562813325687733
4,0.19614692964928163,0.9449616159555204,0.11879132809331279,0.9690419635787807,0.9529527687252686
5,0.17286112360401062,0.9522558596240659,0.1194892772941637,0.9697545526524148,0.9510609536136044
6,0.15667484183040292,0.9548062944732076,0.09879199308686118,0.973950910530483,0.9607774336362298
7,0.1389342344248984,0.9585554337014461,0.0760581586919194,0.9801266825019794,0.9733149105051453
8,0.1296274651779426,0.9626871381570558,0.08112909442797504,0.9768012668250198,0.967935142616497
9,0.1183052485563459,0.9658496773699916,0.07509659443018178,0.9800475059382423,0.9735048465188397
10,0.11431155537783061,0.9679920426432707,0.07554926152753268,0.9798099762470309,0.9724350384357928
