epoch,train_loss,train_acc,test_loss,test_acc,test_f1
1,2.3638229325975217,0.4162491831844914,1.78277757192279,0.5378847671665351,0.2146500988846106
2,1.2076316100661466,0.672620344151601,0.9688581183094064,0.7707182320441989,0.4708707939159165
3,0.7698711494401347,0.7865388804182095,0.639809859438778,0.8413575374901342,0.5808355207785227
4,0.5740399820901708,0.8333696362448269,0.5741584336748251,0.8397790055248618,0.6016173891470544
5,0.45038432252222715,0.8738836854715748,0.47504023397260514,0.8808208366219415,0.6462146713769378
6,0.35243555094598034,0.9026355913744283,0.4838538323459234,0.8693764798737175,0.6896463937808099
7,0.28188949222269727,0.9207144412981921,0.38448074034282137,0.8891081294396211,0.6848529525914829
8,0.24696625369264005,0.9292093225876715,0.3976122116892001,0.898973954222573,0.6712574563532858
9,0.21575779956466257,0.937050751470268,0.3441428244113922,0.914759273875296,0.7103341087933198
10,0.17950750437210755,0.9481594423872794,0.33096619116196785,0.9119968429360694,0.6991390874149216
11,0.16695220770723704,0.9529514267044217,0.360232570435743,0.8993685872138911,0.6902962391639081
12,0.16054207381275687,0.9549117839250708,0.3458869469241072,0.9155485398579322,0.7219304335460331
13,0.14742258958724608,0.9573077760836419,0.33305824964932784,0.9214680347277032,0.7427697501119755
14,0.12592665292850067,0.9629710302766282,0.3503879828771081,0.914759273875296,0.7070942957470112
15,0.12337546768829315,0.9629710302766282,0.336654047281044,0.9171270718232044,0.7208159885462914
16,0.10316059980691583,0.9714659115661076,0.3172736044887868,0.925414364640884,0.7324084993845152
17,0.09647387546265834,0.9745153561315617,0.38362053443619654,0.904498816101026,0.6914104591906457
18,0.08962785155619704,0.9742975386626007,0.3463381718441362,0.920284135753749,0.6958667670436285
19,0.08466551790918252,0.9751688085384448,0.3777301267036417,0.9163378058405682,0.7425239136020007
20,0.09125649305216707,0.9732084513177957,0.36417831046522936,0.9123914759273876,0.6574758088639664
21,0.09261417006406356,0.9747331736005228,0.347576562823888,0.9246250986582478,0.7198009786024038
22,0.08536950312189691,0.9753866260074058,0.3234290964107581,0.930544593528019,0.7279550774473873
23,0.07618672812434225,0.9773469832280549,0.36900218876685886,0.9100236779794791,0.7147779704190502
